Segment/Level 1,Family/Level 2,Class/Level 3,Commodity/Level 4,UNSPSC,Seg,Fam,Cla,Com,Notes
Appliances,Appliances,,,,,,,,
appliances,Commercial Appliances,Blenders,,48011601,48,1,16,1,
Appliances,Commercial Appliances,Can Openers & Crushers,,48101602,48,10,16,2,Didn't match with mod
Appliances,Commercial Appliances,Char Broilers,,48101503,48,10,15,3,
Appliances,Commercial Appliances,Commercial Ovens,,48101517,48,10,15,17,
Appliances,Commercial Appliances,Dough Prep,,48101613,48,10,16,13,
Appliances,Commercial Appliances,Food Processors,,48101612,48,10,16,12,
Appliances,Commercial Appliances,Gas & Electric Fryers,,48101509,48,10,15,9,
Appliances,Commercial Appliances,Gas & Electric Ranges,,48101521,48,10,15,21,
Appliances,Commercial Appliances,Graters,,48101606,48,10,16,6,
Appliances,Commercial Appliances,Griddles,,48101511,48,10,15,11,
Appliances,Commercial Appliances,Gyro Machines / Vertical Broilers ,,52150000,52,15,0,0,
Appliances,Commercial Appliances,Heated Cabinets,,41102407,41,10,24,7,three possible choices
Appliances,Commercial Appliances,Herb Cabinets,,42142121,42,14,21,21,
Appliances,Commercial Appliances,Ice Cream & Frozen Beverage Machines,,23181804,23,18,18,4,
Appliances,Commercial Appliances,Induction Ranges,,40101831,40,10,18,31,
Appliances,Commercial Appliances,Juicers,,48101607,48,10,16,7,
Appliances,Commercial Appliances,Meat Grinders,,48101605,48,10,16,5,
Appliances,Commercial Appliances,Mixers,,32101523,32,10,15,23,
Appliances,Commercial Appliances,Outdoor Grills and Smokers,,48101512,48,10,15,12,
Appliances,Commercial Appliances,Pasta Cookers,,48101512,48,10,15,12,
Appliances,Commercial Appliances,Rethermalizers and Warmers,,48101510,48,10,15,10,
Appliances,Commercial Appliances,Rice Cookers,,48101530,48,10,15,30,
Appliances,Commercial Appliances,Slicers,,48101616,48,10,16,16,
Appliances,Commercial Appliances,Steamers,,48101524,48,10,15,24,
Appliances,Commercial Appliances,Sterilizers & Sanitizers,,47131833,47,13,18,33,
Appliances,Commercial Appliances,Toasters,,48101525,48,10,15,25,
Appliances,Commercial Appliances,Vacuum Pack Machines,,52141540,52,14,15,40,
Appliances,Commercial Appliances,Waffle / Crepe Machines,,48101526,48,10,15,26,
Appliances,Commercial Appliances,Warewashers and Dishwashers,,48101615,48,10,16,15,
Appliances,Commercial Refrigerators & Freezers,Bar Equipment,,48100000,48,10,0,0,
Appliances,Commercial Refrigerators & Freezers,Chef Bases,,52141500,52,14,15,0,
Appliances,Commercial Refrigerators & Freezers,Display Cases,,48102101,48,10,21,1,
Appliances,Commercial Refrigerators & Freezers,Food Prep Tables,,24131501,24,13,15,1,
Appliances,Commercial Refrigerators & Freezers,Freezers,,24131600,24,13,16,2,
Appliances,Commercial Refrigerators & Freezers,Ice Cream Freezers,,24131603,14,13,16,3,low temp freezer 
Appliances,Commercial Refrigerators & Freezers,Merchandisers,,80141605,,,,0,
Appliances,Commercial Refrigerators & Freezers,Milk Coolers ,,21101908,21,10,19,8,cooling tank
Appliances,Commercial Refrigerators & Freezers,Refrigerators,,24131508,24,13,15,8,
Appliances,Commercial Refrigerators & Freezers,Refrigerators/Freezers,,41103011,41,10,30,11,
Appliances,Commercial Refrigerators & Freezers,Undercounter Refrigerators & Freezers,,24131509,24,13,15,9,
Appliances,Commercial Refrigerators & Freezers,Worktop Refrigerators & Freezers,,24131500,,,,0,
Appliances,Concession Equipment,Assorted Signage,,55120000,55,12,0,0,
Appliances,Concession Equipment,Concession Fryers,,52150000,,,,0,
Appliances,Concession Equipment,Condiment Service Equipment,,48101912,48,10,19,12,
Appliances,Concession Equipment,Cotton Candy Machines,,48101532,48,10,15,32,
Appliances,Concession Equipment,Hot Dog Machines,,48101515,48,10,15,15,
Appliances,Concession Equipment,Popcorn Machines,,48101520,48,10,15,20,
Appliances,Concession Equipment,Snow Cone Machines,,52150000,,,,0,
Appliances,Concession Equipment,Soup Merchandisers,,48101910,48,10,19,10,
Appliances,Concession Equipment,Warmers & Merchandisers,,48101510,48,10,15,10,
Appliances,Food Service Appliances and Equipment,,,52140000,52,14,0,0,
Appliances,Ice Machines,Filters and Accessories,,40161502,,,,0,
Appliances,Ice Machines,Ice Storage Bins,,40161500,10,16,15,0,
Appliances,Ice Machines,Modular Machines,,24131900,,,,0,
Appliances,Ice Machines,Remote,,52161525,52,16,15,25,
Appliances,Ice Machines,Sanitary Dispensers,,47121816,47,12,18,16,level two mishap
Appliances,Ice Machines,Self Contained,,24131900,,,,0,
Appliances,Restaurant Equipment Parts,Electrical Components,,39120000,39,12,0,0,
Appliances,Restaurant Equipment Parts,Gas Components,,48101500,,,,0,
Appliances,Restaurant Equipment Parts,Hot Water & Steam Components,,24111800,,,,0,
Appliances,Restaurant Equipment Parts,Restaurant Equipment,,48100000,,,,0,
Appliances,Walk-in Freezers and Refrigerators,Walk-in Coolers,,24131503,24,13,15,3,
Appliances,Walk-in Freezers and Refrigerators,Walk-in Freezers,,24131605,24,13,16,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Adhesive, Graffiti & Rust Removers",15121803,15,12,18,3,should be seperated into 3
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,All-Purpose Cleaners & Degreasers,47131805,47,13,18,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Bathroom, Tile & Toilet Bowl Cleaners",47131829,47,13,18,29,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Bathroom, Tile & Toilet Bowl Cleaners",47131829,47,13,18,29,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Bleach,47131807,47,13,18,7,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Carpet, Floor & Upholstery Cleaners",47131826,47,13,18,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Detergents,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Detergents,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Drain Cleaners & Openers,47131815,47,13,18,15,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Electrical Contact & Cable Cleaners,47131825,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Glass Cleaners,47131824,47,13,18,24,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,"Metal, Stone & Furniture Polishes & Cleaners",47131830,47,13,18,30,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Oven Cleaners,52152301,52,15,23,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,Vehicle & Pressure Washing Cleaners,26101111,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Cleaners & Detergents,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Compressed Air Dusters,,44102904,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Concrete Remover,,47131800,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Disinfectants & Sanitizers,,53131626,53,13,16,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Drain Openers,,47131815,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Floor Cleaners,,47131801,47,13,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,General Purpose Cleaners,,47131805,47,13,18,5,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Glass Cleaners,,47131824,47,13,18,24,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Industrial Cleaners & Degreasers,,47131821,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Kitchen Cleaners & Detergents,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Laundry Detergent,,12161902,12,16,19,2,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Metal Cleaners & Polishes,,47131814,47,13,18,14,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Air Freshener Dispenser Refills,47131706,47,13,17,6,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Air Fresheners,47131812,47,13,18,12,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,Fabric Refreshers & Dryer Sheets,47131811,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,"Toilet, Urinal, Blocks & Screens",47131705,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,"Toilet, Urinal, Blocks & Screens",47131705,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Odor Control,,47101530,47,10,15,30,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Oven & Grill Cleaners,,52152301,52,15,23,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Proportioners & Accessories,Proportioner Accessories,48181700,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Proportioners & Accessories,Proportioners,40151552,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Rust Removers,,15121803,15,12,18,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Adhesive & Paint Removers,44121626,44,12,16,26,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Circuit Board Cleaners,44102911,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Coffee Machine Cleaners,47131805,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Deck & House Wash,47131830,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Ice Machine Cleaners,47131819,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Screen & Electronics Wipes,44102911,44,10,29,11,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Specialty Cleaners,Whiteboard Cleaner,44111909,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Spray Bottles & Triggers,,52511644,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Chemicals,Wood Cleaners & Polishes,,47131806,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Attachments & Tools,47121900,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Cleaning & Disinfecting Wipes,42181508,42,18,15,8,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Filters,40161500,40,16,15,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Floor Brushes,47131600,47,13,16,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Floor Pads,47121608,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Light Bulb Changer,27112119,27,11,21,19,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Scrubber Squeegees,47121803,47,12,18,3,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Accessories & Supplies,Vacuum Bags,24111506,,,,0,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Broom/Squeegee Poles & Handles,47131609,47,13,16,9,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brooms,47131604,47,13,16,4,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Brush Heads,47131615,47,13,16,15,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Mops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Mops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Pans,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dust Pans & Scoops,47131617,47,13,16,17,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
"Cleaning, Janitorial, & Maintenance",Cleaning Equipment,Brooms & Dusters,Dusters,47121801,47,12,18,1,
