,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,*Date of Status Change: Date of DISCO status if available; otherwise date of change/addition to file. ,,,"PRICE LIST - DIRECT
Effective November 8, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, Pricing  ,,,,,,,,Category,,,,,,,,Each: Dimensions & Weight,,,,,,Master Pack/Carton: Dimensions and Weight,,,,,,,Case: Dimensions and Weight,,,,,,,Pallet: Dimensions and Weight,,,,,,,,
Catalog Number,Ghost Sku/Product Code,"Status
",*Date of Status Change,Replacement SKU ,Brand,SBU ,Division ,Description,Industry List,45% Off (Irwin Only),Gold / P1,Platinum / P2, Surcharge , 45% Off + Surcharge (IRWIN Only) , Gold + Surcharge ,Platinum +  Surcharge,Category,Sub Category,"Application Tool
(for Fastening Products)","MOQ (Buy Multiples)
","Pack Qty
(for Fasteners)",MTO?            (Yes Or No),Country of Orgin ,Commodity Code,"Each
UPC Code","Each
Length (IN)","Each
Width (IN)","Each 
Height (IN)","Each
Gross Weight (LB)","Each 
Volume (CUB)","Master Pack
UPC Code","Master Pack 
Qty",Master Pack Length (IN),Master Pack Width (IN),Master Pack Height (IN),"Master Pack 
Gross Weight (LB)",Master Pack Volume (CUB),"Case 
UPC Code","Case 
Qty","Case 
Length (IN)","Case 
Width (IN)","Case 
Height (IN)","Case 
Gross Weight (LB)","Case 
Volume (CUB)","Pallet 
UPC Code","Pallet 
Qty ","Pallet
 Length (IN)","Pallet 
Width (IN)","Pallet 
Height (IN)","Pallet 
Gross Weight (LB)","Pallet 
Volume (CUB)","Pallet
Units / Layer","Pallet
Layers / Pallet "
19110,,ACTIVE,08/01/06,,BLACK+DECKER,PTA,30,"3/8"" BULLET DRILL BIT", 8.06 , -   , 4.02 , 3.80 ,5%, -   , 4.23 , 4.00 ,ROUND SHANK METAL DRILLING,METAL DRILLING,,5,,NO,CN,8207502055,28877584584,7.76,1.87,0.39,0.114,0.003,40028877180906,5,7.76,1.87,1.95,0.57,0.016,30028877053647,25,9.5,9.5,3,2.85,0.157,60885911561084,4200,42,30,46.88,505.8,34.183,300,14
19111,,ACTIVE,08/01/06,,BLACK+DECKER,PTA,30,"1/2"" BULLET DRILL BIT", 12.82 , -   , 6.40 , 6.04 ,5%, -   , 6.73 , 6.35 ,ROUND SHANK METAL DRILLING,METAL DRILLING,,5,,NO,CN,8207502055,28877584461,7.8,1.9,0.6,0.196,0.005,40028877180913,5,8,4.2,1,0.98,0.019,30028877053654,25,9.5,9.5,3,5.16,0.157,60885911561091,4200,42,30,46.88,893.88,34.183,300,14
GH3000,,ACTIVE,11/27/12,,BLACK+DECKER,OHP,14,HIGH PERFORMANCE 7.5A STRING TRIMMER,137.59,0,68.8,65.52,5%,0,72.24,68.8,CORDED STRING TRIMMERS,STRING TRIMMER,,1,,NO,CN,8467290070,885911299084,8.86,4.63,43.63,8.05,1.036,0,-,0,-,-,-,-,-,-,-,-,-,-,-,60885911122025,36,48,40,46.625,289.8,51.806,4,9
GH900,,ACTIVE,12/05/13,,BLACK+DECKER,OHP,14,6.5 AMP STRING TRIMMER,89.22,0,44.6,42.48,5%,0,46.84,44.61,CORDED STRING TRIMMERS,STRING TRIMMER,,1,,NO,CN,8467290070,885911342568,8.5,4.875,36.625,7.04,0.878,0,-,0,-,-,-,-,-,-,-,-,-,-,-,60885911149268,45,48,40,48.88,316.8,54.311,5,9
GSL35,,ACTIVE,03/22/10,,BLACK+DECKER,OHP,14,GARDEN SHEAR-3.6V LITHIUM COMBO SHEAR,85.07,0,42.54,40.41,5%,0,44.67,42.44,CORDLESS GARDENING,SHEARS/SHRUBBERS,,1,,NO,CN,8467290090,885911188814,11.563,4.063,4.5,2.2,0.122,40028877273325,2,11.625,8.188,4.563,4.5,0.251,-,-,-,-,-,-,-,60885911125200,324,48,40,45,729,50,32,7
HCUA525J,,ACTIVE,12/15/17,,BLACK+DECKER,OHP,18,20V 2IN1 CANISTER STICK VACUUM,392.73,0,196.37,187,5%,0,206.19,196.36,HPP CORDLESS STICK VACS,HPP STICK VAC,,1,,NO,CN,8508110000,885911523431,11.938,8.938,33.75,11.312,2.084,40028877475781,2,18.5,12.9,34.6,24.75,4.779,-,-,-,-,-,-,-,60885911277268,14,48,40,39.5,173.25,43.889,4,3
HCUA525JP,,ACTIVE,10/10/17,,BLACK+DECKER,OHP,18,20V 2IN1 PET CANISTER STICK VACUUM,392.89,0,196.44,187.09,5%,0,206.27,196.45,HPP CORDLESS STICK VACS,HPP STICK VAC,,1,,NO,CN,8508110000,885911523448,12.3,8.9,33.72,11.25,2.136,40028877479833,2,18.34,13.063,34.81,25.1,4.826,-,-,-,-,-,-,-,60885911282415,14,48,40,39.5,175.7,43.889,4,3
HFEJ520JWMF81,,ACTIVE,11/09/20,BSV2020G,BLACK+DECKER,OHP,18,20V SMARTECH 2IN1 FX STICK VAC OBS,242.53,0,121.26,115.49,5%,0,127.33,121.27,MPP CORDLESS STICK VACS,MPP STICK VAC,,1,,NO,CN,8508110000,885911560818,9.596,8.051,27.579,7.8,1.233,40028877492122,2,16.732,10.236,28.346,17.23,2.809,-,-,-,-,-,-,-,60885911298706,20,48,40,33.35,172.3,37.056,6,4
HFS115J10,,ACTIVE,04/24/17,,BLACK+DECKER,OHP,18,30MIN LITH POWER FLOOR SWEEPER WHT,89.23,0,44.6,42.48,5%,0,46.84,44.61,EPP CORDLESS STICK VACS,SWEEPERS,,1,,NO,CN,8509805095,885911510837,15.75,4.375,9.25,3.2,0.369,40028877465850,2,16.2,8.972,10.02,6.8,0.843,-,-,-,-,-,-,-,60885911592460,100,48,40,49.36,340,54.844,20,5
HFS215J01,,ACTIVE,06/12/17,,BLACK+DECKER,OHP,18,7.2V LITH FLOOR SWEEPER CHARCOAL,107.08,0,53.54,50.99,5%,0,56.22,53.54,EPP CORDLESS STICK VACS,SWEEPERS,,1,,NO,CN,8509805095,885911519526,15.8,4.375,9.25,3.2,0.37,40028877465843,2,16.534,8.972,9.75,7.2,0.837,-,-,-,-,-,-,-,60885911264923,80,48,40,44,288,48.889,20,5
HFVB315J22,,ACTIVE,08/17/16,,BLACK+DECKER,OHP,18,DUSTBUSTER LITH FLEX 1.5AH VAC BL,114.9,0,57.45,54.7,5%,0,60.33,57.44,MPP CORDLESS HAND VACS,MPP DUSTBUSTER,,1,,NO,CN,8508110000,885911485722,11.75,6.313,10.25,4.55,0.44,40028877450627,1,12.125,6.9,10.75,4.9,0.52,-,-,-,-,-,-,-,60885911244901,84,48,40,48.5,411.6,53.889,12,6
HFVB320J27,,ACTIVE,09/26/16,,BLACK+DECKER,OHP,18,LITHIUM FLEX 2AH VAC EGGPLANT,170.99,0,85.48,79.07,5%,0,89.76,83.03,MPP CORDLESS HAND VACS,MPP DUSTBUSTER,,1,,NO,CN,8508110000,885911485739,11.75,6.313,10.25,4.3,0.44,40028877450634,2,12.875,12.125,10.6,9.4,0.958,-,-,-,-,-,-,-,60885911244918,72,48,40,48.5,338.4,53.889,18,4
HG1300,,ACTIVE,01/05/11,,BLACK+DECKER,OHP,18,B&D 1375W HEAT GUN,55.6,0,27.8,26.22,5%,0,29.19,27.54,PAINTING,HEAT GUNS,,1,,NO,CN,8419899585,885911221719,9.375,3,9.3,1.9,0.151,40028877287421,2,9.75,6.9,10.25,3.95,0.399,-,-,-,-,-,-,-,60885911034403,224,48,40,46,442.4,51.111,32,6
